id	dairy	dairylike	beer	wine	juice	water	softdrink	coffee	energydrink	proteindrink	tea	alcohol	otherdrink
Lechuguilla	0	0	0	0	0	0	0	0	0	0	0	0	1
Lei Cha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lemon Grass Coarse Cut Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lemon Rooibos Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lemon Verbena Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lemon With Ginger Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Loire	0	0	0	1	0	0	0	0	0	0	0	1	0
Longjing Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lover's Leap Estate Pekoe 1 Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lu'an Melon Seed Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lukwah Estate TGFBOP Spl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lumbini Estate FBOPF Ex. Sp. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lumbini Estate FBOPF Ex. Spl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lung Jing Te Ji Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Lung-Ching Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Mackeypore Estate White Tips Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Madeira	0	0	0	1	0	0	0	0	0	0	0	1	0
Maghrebi Mint Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Magnolia Blossom Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Malabar Estate Java OP Clonal Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Malbec	0	0	0	1	0	0	0	0	0	0	0	1	0
Mangalam Estate FTGFOP1 Cl. Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Mango Indica Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Mangonada	0	0	0	0	0	0	0	0	0	0	0	0	1
Maojian Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Maracuja/Orange Fruit Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Marsala	0	0	0	1	0	0	0	0	0	0	0	1	0
Masala Chai Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Matcha Bowl Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Matcha Scoop Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Matcha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Matcha Whisk Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Mate Cocido Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Mate Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Matricaria Chamomilla Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Mecha Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Meng Ding Huang Ya Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Mengding Ganlu Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Meritage	0	0	0	1	0	0	0	0	0	0	0	1	0
Merlot	0	0	0	1	0	0	0	0	0	0	0	1	0
Mezcal	0	0	0	0	0	0	0	0	0	0	0	1	0
Michelada	0	0	0	0	0	0	0	0	0	0	0	1	0
Micromeria Chionistrae Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Micromeria Douglasii Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Midsummer Dream Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
Milima Estate Kenya GFOP Tea	0	0	0	0	0	0	0	0	0	0	1	0	0
